mode,bytes,batch,completed,elapsed_us,copied_bytes,pool_high,queue_high
move,16,0,1000,8487,0,1,1
copy,16,0,1000,10613,32000,2,1
move,16,1,1000,8163,0,1,1
copy,16,1,1000,10642,32000,2,1
move,16,2,1000,8464,0,1,1
copy,16,2,1000,11162,32000,2,1
move,16,3,1000,8221,0,1,1
copy,16,3,1000,10543,32000,2,1
move,16,4,1000,8214,0,1,1
copy,16,4,1000,10490,32000,2,1
move,64,0,1000,14832,0,1,1
copy,64,0,1000,23702,128000,2,1
move,64,1,1000,15674,0,1,1
copy,64,1,1000,24526,128000,3,1
move,64,2,1000,14928,0,1,1
copy,64,2,1000,24185,128000,2,1
move,64,3,1000,15614,0,1,1
copy,64,3,1000,23467,128000,2,1
move,64,4,1000,14912,0,1,1
copy,64,4,1000,23708,128000,2,1
move,128,0,1000,23435,0,1,1
copy,128,0,1000,40756,256000,2,1
move,128,1,1000,23111,0,1,1
copy,128,1,1000,40270,256000,2,1
move,128,2,1000,23289,0,1,1
copy,128,2,1000,40779,256000,2,1
move,128,3,1000,22851,0,1,1
copy,128,3,1000,40557,256000,2,1
move,128,4,1000,23178,0,1,1
copy,128,4,1000,40670,256000,2,1
