request,outcome,attempts,elapsed_us,driver_busy,service,body,board,experiment
1,1,1,171975,0,1,010000009DFFFFFF,A,28-p3-console-rpc
2,1,1,212923,0,2,01,A,28-p3-console-rpc
3,1,1,215063,0,3,762C00000100000000000000,A,28-p3-console-rpc
4,1,1,220980,0,1,020000009EFFFFFF,A,28-p3-console-rpc
5,1,1,194929,0,2,00,A,28-p3-console-rpc
6,1,1,223070,0,3,642F00000100000000000000,A,28-p3-console-rpc
7,1,1,206974,0,1,030000009FFFFFFF,A,28-p3-console-rpc
8,1,1,204923,0,2,01,A,28-p3-console-rpc
9,1,1,209065,0,3,563200000100000000000000,A,28-p3-console-rpc
10,1,1,217986,0,1,04000000A0FFFFFF,A,28-p3-console-rpc
11,1,1,292053,0,1,05000000A1FFFFFF,A,28-p3-console-rpc
12,1,1,268924,0,2,01,A,28-p3-console-rpc
13,1,1,273076,0,3,CE4100000100000000000000,A,28-p3-console-rpc
14,1,1,271983,0,1,06000000A2FFFFFF,A,28-p3-console-rpc
15,1,1,267922,0,2,00,A,28-p3-console-rpc
16,1,1,273068,0,3,6A4500000100000000000000,A,28-p3-console-rpc
17,1,1,277983,0,1,07000000A3FFFFFF,A,28-p3-console-rpc
18,1,1,267925,0,2,01,A,28-p3-console-rpc
19,1,1,273072,0,3,0A4900000100000000000000,A,28-p3-console-rpc
20,1,1,280983,0,1,08000000A4FFFFFF,A,28-p3-console-rpc
21,1,1,176933,0,2,00,A,28-p3-console-rpc
22,4,3,6087813,0,1,,A,28-p3-console-rpc
23,1,1,176933,0,4,01,A,28-p3-console-rpc
24,1,1,266932,0,2,00,A,28-p3-console-rpc
25,4,3,6245799,0,1,,A,28-p3-console-rpc
26,1,1,261936,0,4,01,A,28-p3-console-rpc
1,1,1,328977,0,1,010000009DFFFFFF,B,28-p3-console-rpc
2,1,1,204927,0,2,01,B,28-p3-console-rpc
3,1,1,215070,0,3,486D00000100000000000000,B,28-p3-console-rpc
4,1,1,212976,0,1,020000009EFFFFFF,B,28-p3-console-rpc
5,1,1,193918,0,2,00,B,28-p3-console-rpc
6,1,1,232076,0,3,3F7000000100000000000000,B,28-p3-console-rpc
7,1,1,212985,0,1,030000009FFFFFFF,B,28-p3-console-rpc
8,1,1,211927,0,2,01,B,28-p3-console-rpc
9,1,1,218068,0,3,2C7300000100000000000000,B,28-p3-console-rpc
10,1,1,217976,0,1,04000000A0FFFFFF,B,28-p3-console-rpc
11,1,1,386979,0,1,05000000A1FFFFFF,B,28-p3-console-rpc
12,1,1,283924,0,2,01,B,28-p3-console-rpc
13,1,1,273073,0,3,ED8400000100000000000000,B,28-p3-console-rpc
14,1,1,268977,0,1,06000000A2FFFFFF,B,28-p3-console-rpc
15,1,1,281926,0,2,00,B,28-p3-console-rpc
16,1,1,273074,0,3,9E8800000100000000000000,B,28-p3-console-rpc
17,1,1,267975,0,1,07000000A3FFFFFF,B,28-p3-console-rpc
18,1,1,267932,0,2,01,B,28-p3-console-rpc
19,1,1,273077,0,3,3A8C00000100000000000000,B,28-p3-console-rpc
20,1,1,267975,0,1,08000000A4FFFFFF,B,28-p3-console-rpc
21,1,1,214941,0,2,00,B,28-p3-console-rpc
22,4,3,6090821,0,1,,B,28-p3-console-rpc
23,1,1,157952,0,4,01,B,28-p3-console-rpc
24,1,1,266929,0,2,00,B,28-p3-console-rpc
25,4,3,6263817,0,1,,B,28-p3-console-rpc
26,1,1,272944,0,4,01,B,28-p3-console-rpc
27,1,1,161049,0,1,09000000A5FFFFFF,A,30-p3-injected-actions
28,1,1,234923,0,2,01,A,30-p3-injected-actions
29,1,1,224070,0,3,1AF101000100000000000000,A,30-p3-injected-actions
30,1,1,203980,0,1,0A000000A6FFFFFF,A,30-p3-injected-actions
31,1,1,209926,0,2,00,A,30-p3-injected-actions
32,1,1,210079,0,3,07F401000100000000000000,A,30-p3-injected-actions
33,1,1,212981,0,1,0B000000A7FFFFFF,A,30-p3-injected-actions
34,1,1,217921,0,2,01,A,30-p3-injected-actions
35,1,1,196067,0,3,01F701000100000000000000,A,30-p3-injected-actions
36,1,1,209980,0,1,0C000000A8FFFFFF,A,30-p3-injected-actions
37,1,1,283048,0,1,0D000000A9FFFFFF,A,30-p3-injected-actions
38,1,1,268924,0,2,01,A,30-p3-injected-actions
39,1,1,273073,0,3,8F0602000100000000000000,A,30-p3-injected-actions
40,1,1,271980,0,1,0E000000AAFFFFFF,A,30-p3-injected-actions
41,1,1,267922,0,2,00,A,30-p3-injected-actions
42,1,1,273066,0,3,290A02000100000000000000,A,30-p3-injected-actions
43,1,1,278983,0,1,0F000000ABFFFFFF,A,30-p3-injected-actions
44,1,1,296925,0,2,01,A,30-p3-injected-actions
45,1,1,273069,0,3,E90D02000100000000000000,A,30-p3-injected-actions
46,1,1,267979,0,1,10000000ACFFFFFF,A,30-p3-injected-actions
47,1,1,157990,0,2,00,A,30-p3-injected-actions
48,4,3,6083799,0,1,,A,30-p3-injected-actions
49,1,1,157948,0,4,01,A,30-p3-injected-actions
50,1,1,173928,0,1,11000000ADFFFFFF,A,30-p3-injected-actions
51,1,1,296934,0,2,00,A,30-p3-injected-actions
52,4,3,6263822,0,1,,A,30-p3-injected-actions
53,1,1,264946,0,4,01,A,30-p3-injected-actions
54,1,1,268986,0,1,12000000AEFFFFFF,A,30-p3-injected-actions
27,1,1,349971,0,1,09000000A5FFFFFF,B,30-p3-injected-actions
28,1,1,199926,0,2,01,B,30-p3-injected-actions
29,1,1,208071,0,3,F03102000100000000000000,B,30-p3-injected-actions
30,1,1,209977,0,1,0A000000A6FFFFFF,B,30-p3-injected-actions
31,1,1,208922,0,2,00,B,30-p3-injected-actions
32,1,1,212065,0,3,E63402000100000000000000,B,30-p3-injected-actions
33,1,1,224983,0,1,0B000000A7FFFFFF,B,30-p3-injected-actions
34,1,1,205932,0,2,01,B,30-p3-injected-actions
35,1,1,215075,0,3,D43702000100000000000000,B,30-p3-injected-actions
36,1,1,217975,0,1,0C000000A8FFFFFF,B,30-p3-injected-actions
37,1,1,399977,0,1,0D000000A9FFFFFF,B,30-p3-injected-actions
38,1,1,281923,0,2,01,B,30-p3-injected-actions
39,1,1,273073,0,3,BA4902000100000000000000,B,30-p3-injected-actions
40,1,1,267975,0,1,0E000000AAFFFFFF,B,30-p3-injected-actions
41,1,1,268929,0,2,00,B,30-p3-injected-actions
42,1,1,273078,0,3,534D02000100000000000000,B,30-p3-injected-actions
43,1,1,267979,0,1,0F000000ABFFFFFF,B,30-p3-injected-actions
44,1,1,274926,0,2,01,B,30-p3-injected-actions
45,1,1,273077,0,3,F05002000100000000000000,B,30-p3-injected-actions
46,1,1,267979,0,1,10000000ACFFFFFF,B,30-p3-injected-actions
47,1,1,226926,0,2,00,B,30-p3-injected-actions
48,4,3,6081799,0,1,,B,30-p3-injected-actions
49,1,1,187948,0,4,01,B,30-p3-injected-actions
50,1,1,166935,0,1,11000000ADFFFFFF,B,30-p3-injected-actions
51,1,1,269929,0,2,00,B,30-p3-injected-actions
52,4,3,6243799,0,1,,B,30-p3-injected-actions
53,1,1,275939,0,4,01,B,30-p3-injected-actions
54,1,1,280758,0,1,12000000AEFFFFFF,B,30-p3-injected-actions
55,1,1,163548,0,1,13000000AFFFFFFF,A,31-p3-physical-key-calls
56,1,1,159513,0,2,00,A,31-p3-physical-key-calls
57,1,1,159505,0,2,01,A,31-p3-physical-key-calls
58,1,1,176277,0,4,01,A,31-p3-physical-key-calls
59,1,1,158507,0,4,01,A,31-p3-physical-key-calls
60,1,1,170684,0,3,9DC307000100000000000000,A,31-p3-physical-key-calls
61,1,1,161593,0,1,14000000B0FFFFFF,A,31-p3-physical-key-calls
62,1,1,170565,0,1,15000000B1FFFFFF,A,31-p3-physical-key-calls
63,1,1,158505,0,2,01,A,31-p3-physical-key-calls
55,1,1,190554,0,1,13000000AFFFFFFF,B,34-p3-board-b-key-calls
56,1,1,162418,0,3,C2C70B000100000000000000,B,34-p3-board-b-key-calls
57,1,1,161504,0,4,01,B,34-p3-board-b-key-calls
58,1,1,159221,0,2,00,B,34-p3-board-b-key-calls
59,1,1,190511,0,2,01,B,34-p3-board-b-key-calls
60,1,1,170531,0,4,01,B,34-p3-board-b-key-calls
61,1,1,161503,0,4,01,B,34-p3-board-b-key-calls
