source,target,sf,id,service,outcome,attempts,elapsed_us,driver_busy,body
A,B,7,3,1,1,1,161064,0,020000009EFFFFFF
A,B,7,4,2,1,1,201930,0,01
A,B,7,5,3,1,1,209122,0,8F3200000100000000000000
A,B,7,6,1,1,1,201962,0,030000009FFFFFFF
A,B,7,7,2,1,1,210970,0,00
A,B,7,8,3,1,1,216127,0,7D3500000100000000000000
A,B,7,9,1,1,1,216974,0,04000000A0FFFFFF
A,B,7,10,2,1,1,218976,0,01
A,B,7,11,3,1,1,226067,0,6B3800000100000000000000
A,B,7,12,1,1,1,214022,0,05000000A1FFFFFF
B,A,7,2,1,1,1,351989,0,020000009EFFFFFF
B,A,7,3,2,1,1,210917,0,01
B,A,7,4,3,1,1,233134,0,306700000100000000000000
B,A,7,5,1,1,1,214982,0,030000009FFFFFFF
B,A,7,6,2,1,1,230990,0,00
B,A,7,7,3,1,1,219068,0,1E6A00000100000000000000
B,A,7,8,1,1,1,235044,0,04000000A0FFFFFF
B,A,7,9,2,1,1,214925,0,01
B,A,7,10,3,1,1,236138,0,0C6D00000100000000000000
B,A,7,11,1,1,1,216978,0,05000000A1FFFFFF
A,B,9,13,1,1,1,306082,0,06000000A2FFFFFF
A,B,9,14,2,1,1,266943,0,01
A,B,9,15,3,1,1,273069,0,224800000100000000000000
A,B,9,16,1,1,1,268047,0,07000000A3FFFFFF
A,B,9,17,2,1,1,266922,0,00
A,B,9,18,3,1,1,273060,0,C14B00000100000000000000
A,B,9,19,1,1,1,268036,0,08000000A4FFFFFF
A,B,9,20,2,1,1,266919,0,01
A,B,9,21,3,1,1,273136,0,5D4F00000100000000000000
A,B,9,22,1,1,1,267975,0,09000000A5FFFFFF
B,A,9,12,1,1,1,375963,0,06000000A2FFFFFF
B,A,9,13,2,1,1,274980,0,01
B,A,9,14,3,1,1,272065,0,017F00000100000000000000
B,A,9,15,1,1,1,266989,0,07000000A3FFFFFF
B,A,9,16,2,1,1,274996,0,00
B,A,9,17,3,1,1,272073,0,A28200000100000000000000
B,A,9,18,1,1,1,267046,0,08000000A4FFFFFF
B,A,9,19,2,1,1,266925,0,01
B,A,9,20,3,1,1,272078,0,3B8600000100000000000000
B,A,9,21,1,1,1,267050,0,09000000A5FFFFFF
