board,sf,bytes,expected_us,edge_us
A,7,44,23104,23707
A,7,44,23104,23708
A,7,44,23104,23705
A,7,44,23104,23707
A,7,44,23104,23708
A,7,44,23104,23707
A,9,44,71936,72540
A,9,44,71936,72540
A,9,44,71936,72538
A,9,44,71936,72539
A,9,44,71936,72540
A,9,44,71936,72540
A,7,44,23104,23708
A,7,44,23104,23708
A,7,44,23104,23707
A,7,44,23104,23707
A,7,44,23104,23708
A,7,44,23104,23707
A,7,44,23104,23707
A,7,52,25664,26265
B,7,52,25664,26264
B,7,52,25664,26266
B,7,52,25664,26265
B,7,52,25664,26267
B,9,52,82176,82779
B,9,52,82176,82775
B,9,52,82176,82776
B,9,52,82176,82775
B,7,52,25664,26263
B,7,44,23104,23707
